db,sn,Abstract
S,11,"Public sector accounting reforms have resulted in crucial changes in accounting reporting by the government, namely the adoption of accrual accounting in the public sector. This study looks into the social factors that led to the Indonesian central government implementing accrual accounting reform. This study adopted a quantitative approach using purposive sampling. Structural Equation Modeling (SEM) with PLS version 3.0 was used to analyze the data. The information for this study was gathered using a Google Form, which was used to send 70 questionnaires to government finance officials, chief accountants and auditors, and heads of accounting and auditing divisions in the Ministry of Finance. Seeing these social factors is expected to increase the effectiveness of the administration of accrual accounting implementation. The results showed that pressure from donors, pressure from the National Board of Accountants and Auditors (NBAA), political will, and audit process had an impact on the effectiveness of accrual accounting application (AAA). However, management change, regulatory matters, and a culture of transparency have no effect. In addition, the effective administration of AAA affects managerial accountability. This study implies that the effective application of accrual accounting depends on human-related concerns and culture. It is important to note that accrual accounting is more of a management reform that entails changes to bigger areas of institutional and accountability systems than merely adopting a new accounting technology. © Revista Espanola de Investigacion Criminologica 2021."
S,12,"Financial reporting and assurance in their current form are losing relevance to investors in firm valuations. New sources of data, especially exogenous or external data that are generated outside the organizations, have opened doors to new ways of business measurement and information validation. Examples of exogenous data include social media, online searches, social networks, and news media. This paper discusses the state-of-the-art applications of exogenous data in the measurement and assurance of business reporting, ESG, and cybersecurity and provides potential avenues for future research. Furthermore, this paper speculates on the nature of the new paradigm of business measurement and assurance with exogenous data and the difficulties that are emerging. © 2022, American Accounting Association. All rights reserved."
S,13,"With the continuous complexity of China's market economic environment and the increasing role of social audits, there are an increasing number of audit risk problems, and research on this topic is increasingly important. Based on the above background, a social audit risk statistical method based on machine learning under the background of big data is proposed. Under the guidance of the index principle, this method selects the social audit risk statistical index and constructs the index system. Using the analytic hierarchy process, calculate the weight of social audit risk statistical indicators. The self-organizing feature mapping neural network in machine learning is used to construct the risk statistical model and complete the risk quantitative analysis. The experimental results show that under the application of the research method, the error between the social audit risk statistical results and the actual result is very small, which shows that the statistical accuracy of the research method is high and has wide application prospects.  © 2021 IEEE."
S,14,"The article presents the characteristic features of the introduction of digital technologies in the modern sector of cooperation, taking into account the trends in the development of the economy. In the context of differences in the possibilities of modernizing the cooperative sector, the authors examine the significance and problems of the development of accounting and analysis. The exhaustion of traditional opportunities for the development of the industry through the introduction of modern digital technologies, which are based on the low cost of labour, is stated. The content, essence, and basic principles of the innovative way of development of the cooperative sector are substantiated. It’s shown that the key issue related to the prospects for the further development of the cooperative sector in Russia, increasing the efficiency of using its resource potential is the introduction and use of new automated systems and tools in the context of the digitalization of the economy. Today digitalization is one of the key components in the development of the economy, affecting various spheres of life in modern society. The methodological base of the research includes the theory of accounting and auditing, as well as the principles of blockchain technologies in the aspect of their application in finance. This article provides an overview of the main trends in the development of blockchain technology in accounting and auditing based on foreign scientific articles, as well as an analysis of blockchain technologies in the area of forming the accounting policy of an organization. Conclusions about the degree of applicability of this technology in a modern organization are drawn; the main problems, risks, and benefits from the introduction of this technology are reflected. The results of the study are intended for developers of IT technologies and specialists of accounting and analytical profile and should contribute to improving the efficiency of systems for processing and exchanging big data in the area of economics. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
W,15,"Cloud-assisted applications have been developed in recent years, especially in servicing the smart city. Cloud computing is an emerging technology, which combines many redundant and distributed servers to provide various applications and services. On the one hand, the users can outsource their data to the cloud and enjoy the services that are provided by the cloud anytime and anywhere. On the other hand, outsourcing the data to the cloud will reduce the local storage burden and alleviate the hardware maintenance. However, the cloud server is semi-trusted, which possibly threaten the data's security. In addition, because the data owner will not physically possess the data after outsourcing the data to the cloud, it is required to check the storage correctness and data integrity. Cloud auditing protocols are proposed to solve this problem, but the efficiency and security of previous protocols are not well. In this paper, we proposed an enhanced auditing protocol, which can reduce the verification cost greatly and offer enough security assurance. Besides, our protocol is able to resist the forgery attack in the proof verification. The security and performance analysis shows that the proposed protocol can efficiently support storage verification and privacy preserving."
W,16,"With the rapid development of the economy and society, the sustainable development of resources and environment has been paid more and more attention. As an important part of the national environmental supervision system, resources and environmental audits have attracted great attention from the society. In order to explore the application effect of intelligent networking technology in resource and environment audit, this study carries out monitoring sampling, information collection, and later data processing optimization in resource and environment audit projects through the reference of artificial intelligence technology and method and combined with Internet of things big data analysis, which brings new Turks to the development of natural resource and environment audit and helps to improve the efficiency of audit work. Through the application of new technology in the sampling process of environmental information, the staff use new technology to collect, analyze, and mine data and explore how the new technology can promote the efficiency of resource and environmental audit and better promote the construction of ecological civilization."
W,17,"Data provenance is information about where data come from (provenance data) and how they transform (provenance transformation). Data provenance is widely used to evaluate data quality, trace errors, audit data, and understand references among data. Current studies on data provenance in relational database management systems (RDBMS) still have limitations in supporting full-featured SQL or procedural languages. With these challenges in mind, we present a formal definition of provenance data and provenance transformation for relational data. Then, we propose a solution to support data provenance in relational databases, including provenance graphs and provenance routes. Our method not only solves the complicated problem of modeling provenance in DBMS but also is capable of extending procedural languages in SQL. We also present ProvPg, a PostgreSQL-based prototype database system supporting data provenance in multiple granularities. ProvPg implements extraction, calculation, query, and visualization of provenance. We perform TPC-H tests for ProvPg and PostgreSQL, respectively. Experimental results show that ProvPg addresses the vision of supporting data provenance with little extra computation overhead for the execution engine, which indicates that our model is applicable to lineage tracing applications."
W,18,"Purpose This study conducts a systematic review using 452 academic and industry articles from an initial set of 60,899 records obtained by 3 databases from 2012 to 2020. The authors compare and contrast blockchains with existing legacy systems. The authors identify existing regulation, accounting standards, guidelines and potential amendments in under-explored areas such as taxation, accounting treatment of crypto-assets/liabilities and detailed auditing procedures. The study aims to highlight the trends, differences and gaps between academic and industry literature. The authors provide a behavioral, social, cultural, organizational, regulatory, ethical, accountability and managerial perspectives of blockchain adoption in accounting. Finally, the study develops two adoption frameworks. Design/methodology/approach The authors' study follows (Moher et al., 2009) and (Briner and Denyer, 2012) methodology to conduct the systematic review and the steps are mentioned below. The authors construct a final sample of 452 from a preliminary search of three multi-disciplinary databases from 2012 to 2020. First, the authors motivate the review and formulate the research questions. Second, the authors aggregate relevant literature from both industry and academia and implement quality assessments. Third, the authors analyze the literature and construct the final sample of articles. Fourth, the authors conducted textual analysis, keyword frequencies and identify gaps, trends and similarities between academic and industry literature and develop the authors' frameworks Findings The authors identify 3 (ABDC, B and A* ranked) journals as publishing top article numbers with the highest article count for 2017 with 96 articles in academia and 2019 for the industry with 21 articles. Second-highest publications for academia occur in 2018 with 77 followed by, whereas in the industry, publications occur in the year 2016 with 16 articles. Two co-authors appear most popular with 103 articles. Word clouds, a mind map and article theme counts are used to identify nine key research clusters: data management, financial applications, sustainability, accounting and auditing, business and industrial, education, governance, privacy/security and disruptive technology. Research limitations/implications Systematic reviews can have selection biases mainly due to search and selection criteria distortions when constructing the final sample of articles. The authors address selection bias by refining our search keyword combinations by using different permutations and using keywords from articles already collected. The authors employ three databases and review the reference list of articles collected to add more articles that may have been missed into our sample. In addition, to avoid inconsistent coding of domains/themes and interpretations, the authors carefully review our domain identifications and all our analysis twice independently using two research assistants to obtain the same conclusions. Practical implications The authors' unique contributions include reviewing additional papers, differentiating between industry, academic articles, common trends and gaps in much scattered prior literature. The authors identify existing accounting standards, guidelines, limitations and possible amendments required in future for blockchain adoption in accounting in taxation, accounting treatment of crypto-assets/liabilities and detailed audit procedures. Blockchains are compared with legacy accounting technologies and two frameworks for adoption developed. The authors' results could impact the understanding of existing regulation, accounting standards, future amendments, areas requiring clarity and future collaborative research between academia and industry across multi-disciplines. Practical implications to academics, professional bodies, regulators and industry practitioners exist. Social implications The authors' study identifies significant implications on organizations, environment, culture and society in general. The authors identify that social engagement projects may be easily initiated and implemented with decentralized accounting information systems. Transparency and efficiency would change organization culture, ways accountants and even employees interact with each other and community. Anonymity in blockchains can be used for criminal activities. Coding of negative social dynamics to smart contracts may persist. Transparency of personally identifiable information may place individuals at risk. Regulation and standards would need to identify equity, ethics in blockchains which notwithstanding energy consumption, and could enable environmental protection increasing societal sustainability. Originality/value To the authors' knowledge, this is the first study that compares academic and industry literature of 452 articles to identify gaps and similarities from 2012 to 2020 using three multi-disciplinary databases. The authors' study is the first study to in detail existing accounting standards, unclear areas, future amendments for International Financial Reporting Standards (IFRS) standards on taxation, financial reporting and all aspects of auditing procedures. The authors further categorize prior literature into these key areas and develop two frameworks (DAERPS and DAIS) that are linked to our review results and prior literature. The authors identify the impact of blockchain adoption on key stakeholders, regulation, society, culture, organization, accountability and ethics."
W,19,"Fragmentation of reformatting trends in corporate reporting, differentiation national approaches to the regulation of accounting systems and the lack of academic studies of accounting innovations cosed an urgent need to identify key innovations in the development of corporate reporting, analyze the feasibility of their use. The aim of the article. The aim of the article is structural analysis of modern innovations in preparing and presenting corporate reporting and researching the prospects of their application based on the theory of diffusion of innovations The results of the analysis. Innovation diffusion theory as in instrument of interdisciplinary analysis allows to describe key parameters in spreading of actual accounting, audit and corporate reporting innovations, for example: relative advantage, compatibility, complexity of innovation, trialability and observability. Located in the order of accounting cycle (accounting of different types of operations, reporting after the end of the period, and rendering an auditors opinion), discussed technological innovations give an idea about the prospects of modern system of corporate reporting. Big data, accounting for Environmental, Social and corporate Governance criteria, preparation and presentation of integrated reporting, real-time reporting, conducting continuous audit with computer assisted audit technologies (CAAT), Global General Accepted Accounting Principles (GGAAP) and development of XBRL are the typical technological innovations that accompany the transformation corporate reporting process based on a new paradigm. Conclusions and directions of further researches. Big data is not only the product of accounting and reporting in real time, but also the basis for the continuous audit of the real-time reporting with advanced analytical technologies CAAT. Taking into account ESG-criteria in the course of business, the implementation of responsible investment requires the development of appropriate indicators and its accounting measurement for the demonstration of progress in achieving sustainability and corporate social responsibility. This ESG-criteria and indicator (non-financial information), spreading real-time reporting lead to the emergence of integrated reporting. It causes changes in approaches to public audit and confirmation of this type of reporting with the CAAT, artificial intelligence systems. GGAAP development, improvement of methodology of integrated reporting standards and International Standards on Quality, Control, Auditing, Review Other Assurance and Related Services acts as a response to the need to restoring confidence in the reporting on globalized financial marketsand independent verification of its quality. XBRL as a technology innovation serving as connecting-link the one that helps transmit understandable reporting to all stakeholders, minimizing the time and costs for its processing and analysis through the taxonomy. The combination of considered innovation are grounded necessitates of construction of convergent model of accounting, reporting and auditing, which fully meets the information needs of stakeholders on globalized financial markets and with the spreading of sustainability concept."
W,20,"Waste management directly and indirectly contributes to all sustainable development goals. Hence, the modernisation of the current ineffective management system through Industry 4.0-compatible technologies is urgently needed. Inspired by the fourth industrial revaluation, this study explores the potential application of waste management 4.0 in a local government area in Perth, Western Australia. The study considers a systematic literature review as part of an exploratory investigation of the current applications and practices of Industry 4.0 in the waste industry. Moreover, the study develops and tests a machine learning model to identify and measure household waste contamination as a waste management 4.0 case study application. The study reveals that waste management 4.0 offers various opportunities and sustainability benefits in reducing costs, improving efficiency in the supply chain and material flow, and reducing as well as eliminating waste by achieving holistic circular economy goals. The significant barriers and challenges involve initial investments in developing and maintaining waste management 4.0 technology, platform and data acquisition. The proof-of-concept case study on the machine learning model detects selected waste with considerable precision (over 70% for selected items). The number and quality of the labelled data significantly influences the model's accuracy. The data on waste contamination are essential for local governments to explore household waste recycling practices besides developing effective waste education and communication methods. The study concludes that waste management 4.0 can be an effective tool for acquiring real-time data; however, overcoming the current limitations needs to be addressed before applying waste management 4.0 into practice."
W,21,"The whole world is facing the urgent issue of balancing economic development and ecological conservation. The fulfillment of the solution requires green innovation at the regional level. However, the heterogeneity of green innovation is obvious in different regions. To explore ways at effectively improving the level of regional green innovation in China, the research develops decomposition analysis based on the Logarithmic Mean Divisia Index (LMDI) model to identify the driving factors of green innovation. We also take the Geographical and Temporal Weighted Regression (GTWR) model to explore the driving factors of spatial-temporal heterogeneity of green innovation in China. The main results are as follows. Research and development (R&D) efficiency play a dominant role for increasing regional green patent applications, while environmental regulation contributes the most to a decline of regional green patent applications during 2003-2017. Various determinants of green patent applications exhibit spatial-temporal heterogeneity, such as the coefficients of influencing factors for each province in 2017 being more significant than the same coefficients in 2003. Beijing's coefficient of R&D efficiency is the largest, while the coefficient of economic development for Shanxi is the largest. The findings herein provide detailed insight for China's policymakers to effectively improve the level of regional green innovation domestically, which is of constructive significance to narrow the gap of regional green innovation and realize the coordinated and sustainable development of economy. (C) 2020 Elsevier Ltd. All rights reserved."
W,22,"Assuring future performance of systems-of-systems through advanced-technology investments is a perpetual challenge of industry and agencies. Among the complicating factors are technology innovation, escalating scales, and diversity of software and hardware applications, increasing availability and scrutiny of big data, and evolving business, environmental, and legal contexts. These factors are engaging system owner/operators to continually reprioritize these investments, even as transparent principles for investment are needed for appropriate oversight and auditing. In this paper, a branch of resilience analysis offers to address multiple layers of uncertainty that arise from technology plans around future disruptions to large-scale systems-of-systems. The paper presents a methodology to quantify and manage the disruptive influence of individual systems perspectives to the prioritization of technology investments across the system-of-systems. The methodology is demonstrated through a case study on an information technology investment portfolio of the US Department of Commerce, USA. The experience suggests how fiscal limitations, combining with several other factors, has the largest disruption to the prioritization of investments. The results furthermore describe how investments perform relative to one another and characterize where the system-of-systems might be resilient to the perspectives of constituent systems."
W,23,"Background Street imagery is a promising and growing big data source providing current and historical images in more than 100 countries. Studies have reported using this data to audit road infrastructure and other built environment features. Here we explore a novel application, using Google Street View (GSV) to predict travel patterns at the city level. Methods We sampled 34 cities in Great Britain. In each city, we accessed 2000 GSV images from 1000 random locations. We selected archived images from time periods overlapping with the 2011 Census and the 2011-2013 Active People Survey (APS). We manually annotated the images into seven categories of road users. We developed regression models with the counts of images of road users as predictors. The outcomes included Census-reported commute shares of four modes (combined walking plus public transport, cycling, motorcycle, and car), as well as APS-reported past-month participation in walking and cycling. Results We found high correlations between GSV counts of cyclists ('GSV-cyclists') and cycle commute mode share (r = 0.92)/past-month cycling (r = 0.90). Likewise, GSV-pedestrians was moderately correlated with past-month walking for transport (r = 0.46), GSV-motorcycles was moderately correlated with commute share of motorcycles (r = 0.44), and GSV-buses was highly correlated with commute share of walking plus public transport (r = 0.81). GSV-car was not correlated with car commute mode share (r = -0.12). However, in multivariable regression models, all outcomes were predicted well, except past-month walking. The prediction performance was measured using cross-validation analyses. GSV-buses and GSV-cyclists are the strongest predictors for most outcomes. Conclusions GSV images are a promising new big data source to predict urban mobility patterns. Predictive power was the greatest for those modes that varied the most (cycle and bus). With its ability to identify mode of travel and capture street activity often excluded in routinely carried out surveys, GSV has the potential to be complementary to new and traditional data. With half the world's population covered by street imagery, and with up to 10 years historical data available in GSV, further testing across multiple settings is warranted both for cross-sectional and longitudinal assessments."
